Date,BTC,ETH,LTC,XRP,USDT
2021-04-29,53555.10849133,2756.87699416,255.58527087,1.3993598,0.99996558
2021-04-30,57750.17734563,2773.20713193,271.16707826,1.59167357,1.00000862
2021-05-01,57828.05063222,2945.89270802,276.83352024,1.65102495,1.00011075
2021-05-02,56631.07741255,2952.05605494,269.10436986,1.56264103,1.00013222
2021-05-03,57200.29122289,3431.08613981,294.70401603,1.5559947,1.00016493
2021-05-04,53333.53775274,3253.62947001,306.23450395,1.39237606,0.99995116
2021-05-05,57424.00594813,3522.78318978,356.03707899,1.61451155,0.99987478
2021-05-06,56396.51416376,3490.88045894,353.51035114,1.60058065,1.00016893
2021-05-07,57356.40187692,3484.72889546,346.25356951,1.58175517,1.00016611
2021-05-08,58803.77580865,3902.64773368,346.3687306,1.56259835,1.00007757
2021-05-09,58232.3161419,3928.84470583,386.45077919,1.53529288,1.00005767
2021-05-10,55859.79754454,3952.29387234,359.32930323,1.38900575,1.00013654
2021-05-11,56704.5730585,4168.70104865,377.38879964,1.47768244,0.99996725
2021-05-12,49150.53387514,3785.84860304,303.08485491,1.24786361,0.99999281
2021-05-13,49716.19160254,3715.14846639,316.90934375,1.35891006,0.99986797
2021-05-14,49880.53342038,4079.05745857,326.23386846,1.40291747,0.99996491
2021-05-15,46760.18656071,3638.12204192,299.77251044,1.48588012,0.99982253
2021-05-16,46456.05847448,3587.50620646,296.62703675,1.45260573,0.99997528
2021-05-17,43537.51138918,3282.39779583,281.76930683,1.49630034,0.9998022
2021-05-18,42909.40092517,3380.0700925,294.6193151,1.5907339,1.00068048
2021-05-19,37002.4404659,2460.67920048,189.52017899,1.07031315,1.00161636
2021-05-20,40782.73826245,2784.29415835,212.27613741,1.18553663,1.00185206
2021-05-21,37304.69067136,2430.62138539,180.19703077,1.0069763,1.00188755
2021-05-22,37536.63111241,2295.70565666,169.5945621,0.90631728,1.00155538
2021-05-23,34770.58362292,2109.57985208,143.51935628,0.79701534,1.00167359
2021-05-24,38705.97863723,2643.5909947,183.99412311,0.99283503,1.00147161
2021-05-25,38402.22385137,2706.62898111,183.49789699,0.97618689,1.0011486
2021-05-26,39294.19738214,2888.69868104,199.22433183,1.0337254,1.00176644
2021-05-27,38436.96853505,2736.48858585,193.1210965,0.97023464,1.00099112
2021-05-28,35697.60639024,2419.90629016,177.32066097,0.90014845,1.00048137
2021-05-29,34616.06800347,2279.51417661,163.80810442,0.83178801,1.00039212
2021-05-30,35678.12920411,2390.305302,170.97822469,0.90660881,1.00006295
2021-05-31,37332.85368874,2714.94534372,188.03367237,1.04658407,1.00053281
2021-06-01,36684.92451667,2633.51841662,182.9806911,1.01100086,1.00010865
2021-06-02,37575.17957566,2706.12497095,187.263982,1.02440033,1.00055005
